Row Labels,Sum of 2021,Sum of 2022,Sum of 2023,Sum of 2024,,Growth 2022 vs 2021,Growth 2023 vs 2022,Growth 2024 vs 2023
cash_and_equivalents_at_beginning_of_year,3450,4709,2584,4579,,4708,,
cash_and_equivalents_at_end_of_year,4709,2584,4579,1085,,,,
cash_and_equivalents_increase_(decrease),1260,-2126,1996,-3495,,,,
changes_in_working_capital,454,-645,-108,-438,,,,
charges_and_credit,1142,1855,1251,1661,,,,
company_operated,9788,8748,9742,9782,,,,
current_assets,7149,5424,7986,4598,,,,
current_liabilities,4020,3802,6859,3861,,,,
effect_of_exchange_rates,-120,-254,-58,-101,,,,
financing_activity,-5597,-6580,-4374,-7493,,,,
franchised,13085,14106,15436,15715,,,,
income_taxes_paid,2404,3024,2993,2974,,,,
interest_paid,1197,1184,1287,1523,,,,
investing_activity,-2166,-2678,-3184,-5346,,,,
lease_and_property,38273,36339,38422,38634,,,,
long_term_liabilities,54435,52637,53995,55119,,,,
net_income,7545,6177,8469,8223,,,,
non_operating_cost,2811,3194,3178,3488,,,,
operating_costs,2485,4081,3149,3337,,,,
operating_costs_company_owned,8048,7381,8224,8335,,,,
operating_costs_franchise,2335,2350,2475,2536,,,,
other,351,329,316,423,,,,
other_assets,8433,8672,9738,11950,,,,
share_data,1524,1500,1490,1470,,,,
shareholders,-4601,-6003,-4706,-3796,,,,
total,27029,23374,30638,30280,,,,
Grand Total,189443,173183,202377,188904,,,,
